Record Number~Publication Info.~Call No.~Horizon checkouts~Old in-house uses~Checkout Date~Standard No.~Title~CNY
i1248068x~Lanham, Md. : Rowman & Littlefield Publishers, c2008.~320.097 R511~~~  -  -    ~9780742556232 (cloth : alk. paper);0742556239 (cloth : alk. paper);9780742556249 (pbk. : alk. paper);0742556247 (pbk. : alk. paper)~Greeks and Romans bearing gifts : how the ancients inspired the Founding Fathers / Carl J. Richard.~
i1248071x~Lanham, Md. : Rowman & Littlefield Publishers, c2012.~342.7302 V699~~~  -  -    ~9781442217683 (hbk. : alk. paper);1442217685 (hbk. : alk. paper);9781442217706 (ebk.);1442217707 (ebk.)~The writing and ratification of the U.S. Constitution : practical virtue in action / John R. Vile.~
i12480940~Chicago : Ivan R. Dee, c2011.~364.134 B493~~~  -  -    ~9781566638029 (cloth : alk. paper);156663802X (cloth : alk. paper);9781566639200 (electronic);1566639204 (electronic)~Popular justice : a history of lynching in America / Manfred Berg.~
i12482511~Lanham, Md. : Rowman & Littlefield, c2009.~191 B739~~~  -  -    ~0742515060 (cloth : alk. paper);9780742515062 (cloth : alk. paper);0742564584 (electronic);9780742564589 (electronic);9780742515079 (pbk.);0742515079 (pbk.)~Twentieth-century multiplicity : American thought and culture, 1900-1920 / Daniel H. Borus.~
i12482833~San Francisco : Jossey-Bass, c2013.~306.7708 S641~~~  -  -    ~9781118072660 (cloth);1118072669 (cloth);9781118222461 (ebk.);9781118236390 (ebk.);9781118261071 (ebk.);40021618557~Challenging Casanova : beyond the stereotype of the promiscuous young male / Andrew P. Smiler.~
i12483278~Rochester, N.Y. : Camden House, c2012.~028.909 L776~~~  -  -    ~9781571134318 (hardcover : alk. paper);157113431X (hardcover : alk. paper);40021501213~Literary studies and the pursuits of reading / edited by Eric Downing, Jonathan M. Hess, and Richard V. Benson.~
i12483618~Chicago : Ivan R. Dee, 2010.~305.800975 P625~~~  -  -    ~9781566638432 (cloth : alk. paper);1566638437 (cloth : alk. paper)~Not in my neighborhood : how bigotry shaped a great American city / Antero Pietila.~
i12485585~New York : McGraw-Hill, c2008.~658.2 M226~~~  -  -    ~0071546464 (alk. paper);9780071546461 (alk. paper)~Maintenance engineering handbook / R. Keith Mobley, editor in chief ; Lindley R. Higgins, Darrin J. Wikoff [editors].~
i12486784~Lanham, Md. : Lexington Books, c2012.~174.93 E57~~~  -  -    ~9780739175408 (cloth : alk. paper);0739175408 (cloth : alk. paper);9780739175415 (electronic);0739175416 (electronic)~Engineering the climate : the ethics of solar radiation management / edited by Christopher J. Preston.~
i12486802~Lanham, Md. : Rowman & Littlefield Publishers, c2012.~320.5097 E36~~~  -  -    ~9781442217713 (cloth : alk. paper);1442217715 (cloth : alk. paper);9781442217737 (electronic);1442217731 (electronic)~Sacred discourse and American nationality / Eldon J. Eisenach.~
i12486966~Lanham : Rowman & Littlefield Publishers, c2012.~200.9 F889~~~  -  -    ~9781442208827 (cloth : alk. paper);1442208821 (cloth : alk. paper);9781442208841 (electronic);1442208848 (electronic);40021618583~Digging through history : archaeology and religion from Atlantis to the Holocaust / Richard A. Freund.~
i12487697~Philadelphia : Temple University Press, 1996.~302.2343 M985~~~  -  -    ~1566394953 (alk. paper);9781566394956 (alk. paper);1566394961 (pbk. : alk. paper);9781566394963 (pbk. : alk. paper)~Hollywood's new deal / Giuliana Muscio.~
i12489487~Aldershot, Hampshire, England ; Burlington, VT, USA : Ashgate, c2008.~363.69094 L888~~~  -  -    ~9780754672289 (alk. paper);075467228X (alk. paper)~Living ruins, value conflicts / Argyro Loukaki.~
i12496352~Farnham, Surrey, England ; Burlington, VT, USA : Ashgate Pub., c2006.~180 E92~~~  -  -    ~0754658473 (hardcover : alk. paper);9780754658474 (hardcover : alk. paper)~Hellenic philosophy : origin and character / Christos C. Evangeliou.~
i12499249~Lanham, Maryland : Rowman & Littlefield Publishers, Inc., [2012]~378.1982 O15~~~  -  -    ~9781442212725 (cloth : alk. paper);1442212721 (cloth : alk. paper);9781442212749 (electronic);1442212748 (electronic)~Occupying the academy : just how important is diversity work in higher education? / Edited by Christine Clark, Kenneth J. Fasching-Varner, and Mark Brimhall-Vargas.~
i12499390~New York : Alfred A. Knopf, 2013.~128 C224~~~  -  -    ~9780307269072 (hbk.);0307269078 (hbk.)~The undivided past : humanity beyond our differences / David Cannadine.~
i12503174~Australia ; Boston, MA, USA : Wadsworth Cengage Learning, c2013.~303.372 M828~~~  -  -    ~9781133049968 (pbk.);1133049966 (pbk.)~Morality in practice / edited by James P. Sterba, Peter Bornschein.~
