Record Number~Publication Info.~Call No.~Horizon checkouts~Old in-house uses~Checkout Date~Standard No.~Title~CNY
i11064754~New York : Norton, c1984.~574.5 C748~1~~  -  -    ~393018709~The cold and the dark : the world after nuclear war : the Conference on the Long-Term Worldwide Biological Consequences of Nuclear War / Paul R. Ehrlich ... [et al.] ; foreword by Lewis Thomas.~
i11065953~Chichester ; New York : Wiley, c1986.~515.14 M991~5~~  -  -    ~0471911712 (pbk.)~Worked examples in engineering mathematics / L.R. Mustoe.~
i11066039~New York : Dutton, c1987.~657 M996~6~~  -  -    ~0525483063 (pbk.)~Accounting for non-accountants and practice manual / John N. Myer.~
i11066490~Reading, Mass. : Addison-Wesley Pub. Co., c1984.~001.6425 D324~21~~  -  -    ~201145014~An introduction to operating systems / Harvey M. Deitel.~
i11066659~Washington : Library of Congress : For sale by the Supt. of Docs., U.S. G.P.O., 1987.~002 L697~8~~  -  -    ~084440554X (alk. paper)~Books in our future : perspectives and proposals / edited by John Y. Cole.~
i11066726~New York, New York : Facts on File Publications, 1984.~600 C776~19~~  -  -    ~871969882~How everyday things work / Chris Cooper & Tony Osman.~
i11067135~New York : H. N. Abrams, 1979.~574.526 R493~25~~  -  -    ~810917572~Wildlife of the mountains / Edward R. Ricciuti.~
i1106724x~Washington, D.C. : Smithsonian Institution Press, c1987.~523.41 S921~5~~  -  -    ~0874748925 (alk. paper)~Mercury : the elusive planet / Robert G. Strom.~
i11067251~New Brunswick, N.J. : Rutgers University Press , c1986.~352.073 C617~19~~  -  -    ~0813511194 : $32.00;0813511208 (pbk.)~The progressive city : planning and participation, 1969-1984 / Pierre Clavel.~
i11067524~Boston : Little, Brown, c1979.~575 A883~9~~  -  -    ~316057452~Life on Earth : a natural history / David Attenborough.~
i11067627~[New York, N.Y. (4 Washington Square North, New York 10003)] : Urban Research Center of New York University, [1986]~307.76 C734R~0~~  -  -    ~~Report from the Urban Research Center to the New York City Commission on the Year 2000.~
i11067731~Cambridge, Mass. : MIT Press, c1987.~621.38195 S631~3~~  -  -    ~262192624~Portraits in silicon / Robert Slater.~
i11068000~Cambridge, Mass. : MIT Press, c1986.~690.09 F546~17~1~  -  -    ~262061023~Building construction before mechanization / John Fitchen.~
i11068048~New York : International Publishers, 1948, [1987 printing]~335.4 M392MA~38~~  -  -    ~~Manifesto of the Communist Party / by Karl Marx and Frederick Engels ; authorized English translation [by Samuel Moore] ; edited and annotated by Frederick Engels.~
i11069016~London : Croom Helm ; Totowa, N.J. : Barnes & Noble Books, 1984.~305.562 H319~2~~  -  -    ~389204706~The English common people : a social history from the Norman Conquest to the present / J.F.C. Harrison.~
i11069065~London ; Boston : Butterworths, 1985-<1987 >~531.7 J76I4~1~~  -  -    ~0408012315 (pbk. : v. 1)~Jones' Instrument technology.~
i11069260~New York : McGraw-Hill, c1987.~621.311 S637M2~4~~  -  -    ~70584486~Motor application and maintenance handbook / Robert W. Smeaton, editor.~
i11069727~Encino, Calif. : Glencoe Pub. Co., c1987.~651.8 M184I3~10~~  -  -    ~28205901~Information and records management / Mary F. Robek, Gerald F. Brown, Wilmer O. Maedke.~
i11069739~Encino, Calif. : Glencoe Pub. Co., c1987.~651.8 M184I3~19~~  -  -    ~28205901~Information and records management / Mary F. Robek, Gerald F. Brown, Wilmer O. Maedke.~
i11069740~Encino, Calif. : Glencoe Pub. Co., c1987.~651.8 M184I3~19~~  -  -    ~28205901~Information and records management / Mary F. Robek, Gerald F. Brown, Wilmer O. Maedke.~
i1106982x~Wokingham, Berkshire, England : Van Nostrand Reinhold (UK), 1987.~624.151 C886~16~~  -  -    ~278000193~Soil mechanics / R.F. Craig.~
i11069855~New York : Penguin Books, 1977, c1976.~330.902 G491M~10~~  -  -    ~140045147~The medieval machine : the industrial revolution of the Middle Ages / Jean Gimpel.~
i11069879~Washington, D.C. : Published for the National Portrait Gallery by the Smithsonian Institution Press : For sale by the Supt. of Docs., U.S.G.P.O., 1981.~363.289 P655~0~~  -  -    ~~We never sleep : the first fifty years of the Pinkertons / by Frederick Voss and James Barber.~
i11069910~Washington : Center for the Book, Library of Congress, 1987.~070.50973 C748~0~~  -  -    ~844405698~Getting the books out : papers of the Chicago Conference on the Book in 19th-century America / edited by Michael Hackenberg.~
i11070262~[Paris] : Centre Georges Pompidou, [1985]~391.0944 M689~10~~  -  -    ~2858502919~La Mode en direct.~
i11070420~New York : Pantheon Books, c1987.~591.51 E92~32~~  -  -    ~0394559622 : $24.95~Ourselves and other animals / Peter Evans ; from the TV series with Gerald and Lee Durrell ; introduction by Gerald Durrell.~
i11070778~New York : McGraw-Hill, c1987.~624.068 L666~16~~  -  -    ~70372985~Construction safety management / Raymond Elliot Levitt, Nancy Morse Samelson.~
i11070821~New York : Wiley, c1985.~651.82 A826~10~~  -  -    ~0471805408 (pbk.)~WordStar without tears : a self-teaching guide / Ruth Ashley, Judi N. Fernandez, Robert Sansom.~
i11070869~London : Jane's, 1986.~629.441 F988~27~~  -  -    ~0710603606 (pbk)~Space Shuttle log / Tim Furniss.~
i11071059~Englewood Cliffs, N.J. : Prentice-Hall, c1988.~621.31 R993~28~~  -  -    ~132476932~Electric machinery / Peter F. Ryff.~
i11071060~Englewood Cliffs, N.J. : Prentice Hall, c1988.~620.11 H471~1~2~  -  -    ~135605091~Materials for civil and highway engineers / Kenneth N. Derucher, George P. Korfiatis.~
i11071072~Englewood Cliffs, N.J. : Prentice-Hall, c1987.~621.38153 B261~5~~  -  -    ~132521237~Electronic system design : interference and noise control techniques / John R. Barnes.~
i11071138~New York, N.Y. : Viking, 1987.~194 S251zM~5~~  -  -    ~670817260~Sartre, romantic rationalist / Iris Murdoch.~
i11071758~New York : McGraw-Hill, c1986.~621.38173 P887~1~~  -  -    ~70021295~Power integrated circuits : physics, design, and applications / Paolo Antognetti, editor.~
i11072027~Englewood Cliffs, N.J. : Prentice-Hall, c1986.~519.2 S795~12~~  -  -    ~013711706X~Probability, random processes, and estimation theory for engineers / Henry Stark, John W. Woods.~
i11072040~Englewood Cliffs, N.J. : Prentice-Hall, c1986.~621.381958 P346~7~~  -  -    ~135803411~Microcomputer operation, troubleshooting, and repair / Robert T. Paynter.~
i11072106~Cambridge, Mass. : MIT Press, 1986, c1985.~620.0042 N971~3~~  -  -    ~~Numerical methods for CAD / Yvon Gardan, [et. al.~
i11072131~Englewood Cliffs, N.J. : Prentice-Hall, c1986.~658.4038 J12~7~~  -  -    ~131742108~Corporate information management / Ivan F. Jackson.~
i11072155~Englewood Cliffs, N.J. : Prentice-Hall, c1986.~651.5 K92~35~~  -  -    ~137675003~Records/information management and filing / Nathan Krevolin.~
i11072581~New York ; London : Praeger, 1986.~307.76 U726~8~~  -  -    ~275920178~Urban neighborhoods : research and policy / edited by Ralph B. Taylor.~
i11072647~New York : Simon and Schuster, c1978.~330 S583~6~~  -  -    ~671226045~Economics in plain English : all you need to know about economics-in language anyone can understand Leonard Silk.~
i11072763~Englewood Cliffs, N.J. : Prentice-Hall, c1988.~621.381735 G285O2~48~~  -  -    ~136371744~Op-amps and linear integrated circuits / Ramakant A. Gayakwad.~
i11072842~New York : Wiley, c1988.~523.1 E53~6~2~  -  -    ~0471624845 (pbk.);0471624837 (hard)~The scientific companion : exploring the physical world with facts, figures, and formulas / Cesare Emiliani.~
i11073007~Minnetonka, MN : C. DeCosse Inc., c1985.~646.4 S517~22~1~  -  -    ~0865732078;0865732086 (pbk.);0394734114 (Random House, Inc.)~Sewing for style / [created by the editors of Cy DeCosse Incorporated, in cooperation with the Singer Education Department].~
i11073275~Boston : Harcourt Brace Jovanovich, c1987.~355 C738~2~~  -  -    ~151212325~Computers in battle, will they work? / edited by David Bellin, Gary Chapman.~
i11073330~New York : Harper & Row, c1987.~373 R256~5~~  -  -    ~60158492~What do our 17-year-olds know? : a report on the first national assessment of history and literature / Diane Ravitch and Chester E. Finn, Jr. ; foreword by Lynne V. Cheney.~
i11073457~New York : Viking, 1987.~610.924 K82~4~~  -  -    ~0670805548;9780670805549~Becoming a doctor : a journey of initiation in medical school / Melvin Konner.~
i11073494~London ; New York : Chapman and Hall, 1987.~515.35 F792~3~~  -  -    ~0412226502;0412226405 (pbk.)~Numerical solution of ordinary differential equations / L. Fox and D.F. Mayers.~
i11073512~New York : Norton, c1987.~427 O75~7~~  -  -    ~393023923~Twice as less : Black English and the performance of black students in mathematics and science / Eleanor Wilson Orr.~
i11073536~Bedford, Mass. : DECbooks, c1987.~004.145 V391~2~~  -  -    ~093237686X~VAX architecture reference manual / edited by Timothy E. Leonard ; contributing authors, Dileep P. Bhandarkar ... [et al.].~
i11073548~New York : McGraw-Hill, c1987.~621.38152 T882~4~~  -  -    ~007065381X~Operation and modeling of the MOS transistor / Yannis P. Tsividis.~
i11073573~Englewood Cliffs, N.J. : Prentice-Hall, c1986.~621.38154 C311E2~9~1~  -  -    ~835917177~Elements of electronic instrumentation and measurement / Joseph J. Carr.~
i11073585~Englewood Cliffs, N.J. : Prentice-Hall, c1986.~621.38 S617D2~5~~  -  -    ~835913775~Digital, analog, and data communication / William Sinnema [and Tom McGovern].~
i11073810~New York : Weidenfeld & Nicolson, 1987.~551.6 A875~40~~  -  -    ~1555840280~Weather / B. W. Atkinson & Alan Gadd ; foreword by Dr. Frank Field.~
i11074188~London : Pitman ; New York : Wiley, 1986.~621.381958 L897~11~~  -  -    ~0273021540 (pbk.);0470203412 (Wiley : pbk.)~Microprocessor sourcebook for engineers / George Loveday.~
i11074516~New York : Holt, Rinehart, and Winston, c1986.~620.0042 A415~4~~  -  -    ~30017572~Numerical methods in engineering practice / Amir Wadi Al- Khafaji, John R. Tooley.~
i1107503x~Newbury Park, Calif. : Sage Publications, c1987.~384 A925~5~~  -  -    ~0803927843;0803927851 (pbk.)~New electronic pathways : videotex, teletext, and online databases / Jerome Aumente.~
i11075612~New York, Dutton, 1970.~296.8 G244~8~~  -  -    ~525177502~A people apart; Hasidism in America. Photos. by Philip Garvin. Text by Arthur A. Cohen.~
i1107565x~New York : Van Nostrand Reinhold, c1986.~608 R625~23~~  -  -    ~442278241~Patenting and marketing your invention / by Bernard Rivkin.~
i11076033~New York : Dover, c1984.~540.9 I25~1~~  -  -    ~0486642356 (pbk.)~The development of modern chemistry / Aaron J. Ihde.~
i11076203~Newtown, Conn. : Taunton Press, c1986.~684.1043 F495~8~~  -  -    ~0918804469 (pbk.)~Fine woodworking on finishing and refinishing : 34 articles / selected by the editors of Fine woodworking magazine.~
i11076458~New York : Bonanza Books : Distributed by Crown, 1984.~582.16 B963~52~1~  -  -    ~517447428~North American trees / text by Barbara Burn ; foreword by Thomas S. Elias.~
i11076513~Cambridge [Cambridgeshire] ; New York : Cambridge University Press, 1986.~620.0042 K47~3~~  -  -    ~0521302625;0521339723 (pbk.)~Finite element methods in mechanics / Noboru Kikuchi.~
i11077384~New York : St. Martin's Press, c1987.~629.13 M345~49~~  -  -    ~312010966~Straight on till morning : the biography of Beryl Markham / Mary S. Lovell.~
i11077396~New York : St. Martin's Press, c1987.~629.13 M345~0~~  -  -    ~312010966~Straight on till morning : the biography of Beryl Markham / Mary S. Lovell.~
i11078182~Reading, Mass. : Addison-Wesley Pub. Co., c1986.~516.24 K26T4~8~~  -  -    ~0201133326 (pbk.)~Trigonometry : triangles and functions / Mervin L. Keedy, Marvin L. Bittinger.~
i11078595~New York : Pantheon Books, c1987.~174.2 M158~3~~  -  -    ~394559029~Mortal choices : bioethics in today's world / Ruth Macklin.~
i11079277~San Francisco : Jossey-Bass, 1987.~378.73 L989~1~~  -  -    ~155542029X~New priorities for the university : meeting society's needs for applied knowledge and competent individuals / Ernest A. Lynton, Sandra E. Elman.~
i11079356~Pleasantville, N.Y. : Reader's Digest Association, c1987.~232.9 J58~11~~  -  -    ~895772574~Jesus and his times / Reader's digest.~
i11079617~Boston : Shambhala ; [New York] : Distributed in the United States by Random House, 1987.~150.1954 J95W~5~~  -  -    ~877733694~Jung, a biography / Gerhard Wehr ; translated from the German by David M. Weeks.~
i11079708~New York : Weidenfeld & Nicolson, 1987.~551.22 W878~29~~  -  -    ~1555840833~Earthquakes and volcanoes / Robert Muir Wood.~
i11079782~New York : Wiley, c1986.~621.381532 C518~24~~  -  -    ~047182352X~Passive and active filters : theory and implementations / Wai-Kai Chen.~
i11080243~New York : Basic Books, c1987.~658.4 S964~1~~  -  -    ~465007511~Breaking the impasse : consensual approaches to resolving public disputes / Lawrence Susskind, Jeffrey Cruikshank.~
i11080851~New York : Metropolitan Museum of Art, c1987.~391.0904 D794~0~~  -  -    ~~In style : celebrating fifty years of the costume institute / Jean L. Druesedow.~
i11081144~Blue Ridge Summit, PA : TAB Professional and Reference Books, c1987.~070.50285 K64~15~~  -  -    ~0830627006;0830607005 (pbk.)~The illustrated handbook of desktop publishing and typesetting / by Michael L. Kleper.~
i11081338~Joplin, Missouri : International Institute of Technology, Inc., c1983.~660.2 S525~1~~  -  -    ~039517645X~Basic practice of chemical engineering / Esber I. Shaheen.~
i11081673~Austin : University of Texas Press, c1978.~327.172 B763~1~~  -  -    ~0292764472. 0292764480 pbk.~Stable peace / Kenneth E. Boulding.~
i11084340~New York : Prentice Hall Press, 1987.~394.268 T583~27~1~  -  -    ~131336797~The Time-Life book of Christmas.~
i11084467~Boston : Harcourt Brace Jovanovich, c1987.~004.11 K18~3~~  -  -    ~151867879~The supercomputer era / Sidney Karin and Norris Parker Smith.~
i11084492~Chico, Calif. : Ryan Research International, c1987.~016.62138195 H434V3~3~~  -  -    ~0942158040 (pbk.)~Health hazards of video display terminals : a comprehensive, annotated bibliography on a critical issue of workplace health and safety, with sources for obtaining items and list of terminal suppliers / compiled by Meta Nissley.~
i11084546~New York : Harper & Row, c1988.~370.973 C915M~1~~  -  -    ~60158042~American education, the metropolitan experience, 1876-1980 / Lawrence A. Cremin.~
i11084613~New York : M. Dekker, c1986.~620.0042 M627~7~~  -  -    ~824773918~Design of devices and systems / William H. Middendorf.~
i11084686~New York : Unipub, 1984.~620.0042 N971I~8~~  -  -    ~890590362~Interactive graphics in CAD / Yvon Gardan and Michel Lucas ; with additional material by Richard G. Budynas.~
i11084996~Englewood Cliffs, N.J. : Prentice-Hall, c1986.~690 S658P4~27~1~  -  -    ~137020856~Principles and practices of light construction / Ronald C. Smith, Ted L. Honkala.~
i11085113~White Plains, N.Y. : Knowledge Industry Publications, 1988.~621.388 S726~4~~  -  -    ~0867292180;0867292199 (pbk.)~The DISConnection : interactive video and optical disc media / by Gerald A. Souter.~
i11085186~Reston, Va. : Reston Pub. Co., c1985.~621.3192 A546~2~1~  -  -    ~835915972~Electric transmission line fundamentals / Edwin M. Anderson.~
i11085307~New York : Van Nostrand Reinhold Co., c1987.~502.3 M881~0~~  -  -    ~442263511~Career development for engineers and scientists : organizational programs and individual choices / Robert F. Morrison, Richard M. Vosburgh.~
i11085332~New York : Basic Books, c1988.~361.6 E47~8~~  -  -    ~0465059961;0465060501~Poor support : poverty in the American family / David T. Ellwood.~
i1108540x~New York : Elsevier, c1987.~070.50285 S785~5~~  -  -    ~444012001~The electronic era of publishing : an overview of concepts, technologies, and methods / Oldrich Standera.~
