Record Number,Publication Info.,Call No.,Horizon checkouts,Old in-house uses,Checkout Date,Standard No.,Title,CNY
i12149810,"Cambridge, Mass. : Harvard University Press, 2009.",364.174 D411,,,  -  -    ,9780674032835 (alk. paper);0674032837 (alk. paper),Licentious Gotham : erotic publishing and its prosecution in nineteenth-century New York / Donna Dennis.,X
i12149901,"Cambridge, Mass. : Belknap Press of Harvard University Press, 2009.",378.111 W317N,,,  -  -    ,9780674032118;067403211X,Up from history : the life of Booker T. Washington / Robert J. Norrell.,X
i12150186,"Lawrence, Kan. : University Press of Kansas, c1998.",303.484 E47,,,  -  -    ,0700608753 (alk. paper);9780700608751 (alk. paper),The dark side of the Left : illiberal Egalitarianism in America / Richard J. Ellis.,X
i12150393,"Brattleboro, Vt. : Center for Creative Healing, c1993.",155.937 B627,,,  -  -    ,,The art of healing childhood grief : a school-based expressive arts program promoting social and emotional literacy / Anne Black & Penelope Simpson Adams.,ONLY PRATT
i12150587,"New York : Vintage Books, 2000, 1999.",022.4 P497,,,  -  -    ,0375706399 (pbk.) U.S.A. $13.00 ; Canda $20.00,The book on the bookshelf / by Henry Petroski.,X
i12152006,"New York, Prentice-Hall, Inc. [1950]",659.132 S789,,,  -  -    ,,"The technique of advertising production, by Thomas Blaine Stanley ...",
i12153102,"New York, D. Van Nostrand Co., 1931.",516.24 T473,,,  -  -    ,,"Trigonometry for the practical man, by J.E. Thompson ...",
i12157338,"Oxford : Oxford University Press, 1999.",600 P821,,,  -  -    ,0195129113;9780195129113,Beyond engineering : how society shapes technology.,ONLY PRATT
i12157375,"New Delhi ; Oxford ; New York : Oxford University Press, 1999.",333.75 R196,,,  -  -    ,0195649842;9780195649840,"Fencing the forest : conservation and ecological change in India's Central Provinces, 1860-1914 / Mahesh Rangarajan.",ONLY PRATT
i12158331,"New York, N.Y. : Furman Center for Real Estate and Urban Policy, New York University, 2001-",363.509747 D186,,,  -  -    ,,State of New York City's housing & neighborhoods.,ONLY PRATT
i12158811,"New York : Dover Publications, 1983.",627.137 K29,,,  -  -    ,0486244083 (pbk.);9780486244082 (pbk.),The building of the Panama Canal in historic photographs / Ulrich Keller.,X
i12160921,"Cambridge, Mass., M.I.T. Press [1970]",655.2 Z35M1M,,,  -  -    ,262740044 (pbk) 5.95,Manuale typographicum.,
i12164173,"New Haven, Yale University Press, 1953.",509 W658,,,  -  -    ,0837174848;9780837174846,The growth of scientific ideas [by] William P.D. Wightman.,
i12164276,"San Diego, Calif. : Howell-North Books, 1980.",385.09 W538,,,  -  -    ,0831071389;9780831071387,Railways at war / John Westwood.,
i12165359,"New York : Barnes & Noble Books, c1999.",629.225 G258,,,  -  -    ,076071245X;9780760712450,The Gatefold book of fire engines / photographs by Mike Schram and David Hutchinson ; text by Clifford T. Jones ; introduction by Clifford T. Jones and Dr. Barry Hutchinson.,ONLY PRATT
i12165657,"New York : Dover Publications, 1979.",686.2 R724,,,  -  -    ,0486238172 : $6.00,Paragraphs on printing : with occasional notes and illustrations / elicited from Bruce Rogers in talks with James Hendrickson on the functions of the book designer.,X
i12166789,"New York : Industrial Press, 2008",620.004202 A939H,,,  -  -    ,0831133651;9780831133658,Learning and applying Autodesk Inventor 2009 : step-by-step / L. Scott Hansen.,X
i12167630,"Nagold, Germany : The Company, [1972]",683 H138,,,  -  -    ,,The complete Häfele.,
